Rank,Player,Team,Pos,Value
49,Bo Bichette,Toronto Blue Jays,SS,8.8%
49,Bryce Harper,Philadelphia Phillies,1B,8.8%
49,Andy Pages,Los Angeles Dodgers,CF,8.8%
52,Cody Bellinger,New York Yankees,CF,8.8%
53,Jarren Duran,Boston Red Sox,CF,8.7%
54,Brandon Nimmo,New York Mets,LF,8.7%
55,Dansby Swanson,Chicago Cubs,SS,8.7%
56,Max Kepler,Philadelphia Phillies,RF,8.7%
56,Gavin Sheets,San Diego Padres,RF,8.7%
58,Matt Olson,Atlanta Braves,1B,8.7%
59,Gavin Lux,Cincinnati Reds,LF,8.6%
59,Rhys Hoskins,Milwaukee Brewers,1B,8.6%
61,Adolis Garcia,Texas Rangers,RF,8.5%
61,Miguel Vargas,Chicago White Sox,3B,8.5%
63,Shea Langeliers,Sacramento Athletics,C,8.4%
64,Brent Rooker,Sacramento Athletics,LF,8.4%
65,Will Smith,Los Angeles Dodgers,C,8.3%
65,Josh Naylor,Arizona Diamondbacks,1B,8.3%
67,Paul Goldschmidt,New York Yankees,1B,8.3%
68,Eric Wagaman,Miami Marlins,3B,8.2%
69,Randy Arozarena,Seattle Mariners,LF,8.2%
70,Michael Toglia,Colorado Rockies,1B,8.2%
71,Ryan O'Hearn,Baltimore Orioles,1B,8.1%
71,JJ Bleday,Sacramento Athletics,CF,8.1%
73,Mike Yastrzemski,San Francisco Giants,RF,8.1%
74,Nick Castellanos,Philadelphia Phillies,RF,8.0%
75,Zach McKinstry,Detroit Tigers,RF,8.0%
76,Juan Soto,New York Mets,RF,7.9%
77,Logan O'Hoppe,Los Angeles Angels,C,7.9%
78,Nathaniel Lowe,Washington Nationals,1B,7.8%
79,Jorge Soler,Los Angeles Angels,RF,7.8%
80,Salvador Perez,Kansas City Royals,C,7.8%
81,Nolan Arenado,St. Louis Cardinals,3B,7.7%
81,Francisco Lindor,New York Mets,SS,7.7%
83,Jacob Wilson,Sacramento Athletics,SS,7.7%
83,Ryan Mountcastle,Baltimore Orioles,1B,7.7%
85,Yandy Diaz,Tampa Bay Rays,1B,7.7%
86,Junior Caminero,Tampa Bay Rays,3B,7.6%
87,Lars Nootbaar,St. Louis Cardinals,RF,7.6%
88,Austin Riley,Atlanta Braves,3B,7.5%
88,Oneil Cruz,Pittsburgh Pirates,CF,7.5%
90,Jackson Holliday,Baltimore Orioles,SS,7.5%
91,Kristian Campbell,Boston Red Sox,2B,7.5%
92,Gabriel Arias,Cleveland Guardians,3B,7.5%
93,Matt Chapman,San Francisco Giants,3B,7.4%
94,Willy Adames,San Francisco Giants,SS,7.4%
95,Elly De La Cruz,Cincinnati Reds,SS,7.4%
96,Isaac Paredes,Houston Astros,3B,7.3%
96,Willson Contreras,St. Louis Cardinals,1B,7.3%
98,Ceddanne Rafaela,Boston Red Sox,CF,7.3%
99,Yainer Diaz,Houston Astros,C,7.2%
99,J.T. Realmuto,Philadelphia Phillies,C,7.2%
